society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score
Bestech Park View Residency,0.56,8553,1,1,2,7.0,South-West,flat,sector 3,,,650.0,1,0,0,0,0,old property,79,1,51
Ireo Skyon,2.5,16129,2,3,2,4.0,North-West,flat,sector 60,1550.0,,,0,1,0,0,0,relatively new,96,1,43
Pioneer Park,2.0,11764,3,3,3,24.0,North-West,flat,sector 61,1700.0,,,1,0,0,0,0,old property,75,2,43
Dhoot Time Residency,2.2,12813,3,4,3+,8.0,North-West,flat,sector 63,1717.0,,,0,1,0,0,0,old property,71,2,17
Experion The Heartsong,1.65,8237,3,4,3,3.0,North-West,flat,sector 108,2003.0,,1302.0,0,1,0,0,0,old property,74,1,42
Vatika The Seven Lamps,0.85,6538,2,2,2,0.0,East,flat,sector 82,1300.0,,,1,0,0,0,0,relatively new,28,1,42
DLF Wellington Estate,2.09,14615,3,3,2,11.0,West,flat,sector 53,1430.0,,,1,0,0,0,0,,74,2,40
Bestech Park View Residency,0.98,6932,2,2,3,11.0,East,flat,sector 3,1415.0,,,1,0,0,0,0,old property,80,1,51
DLF Carlton Estate,2.1,15418,3,3,1,2.0,East,flat,sector 53,1362.0,,,0,0,0,0,0,,82,2,35
The Lions CGHS,2.05,8541,4,4,3+,8.0,West,flat,sector 56,,,2400.0,1,0,0,0,0,old property,28,2,50
PGR Shree Kripaluji Apartment,1.4,6086,3,3,3+,8.0,North-East,flat,sector 52,,,2300.0,1,0,0,0,0,relatively new,55,2,32
Sagar Apartment,1.45,7250,3,3,3+,7.0,South,flat,sector 56,2000.0,,1800.0,0,1,1,1,1,,132,1,50
Paras Irene,1.2,8450,2,2,3,6.0,North-East,flat,sector 70a,1420.0,,,1,0,0,0,0,old property,24,1,42
Shree Vardhman Victoria,1.65,8461,3,4,3,5.0,South-East,flat,sector 70,1950.0,,1161.0,0,0,1,0,1,relatively new,28,2,37
SS The Leaf,1.05,6402,2,2,3,6.0,North-East,flat,sector 85,1640.0,,,0,0,0,0,1,relatively new,28,1,42
Pyramid Urban,0.56,7928,2,2,2,0.0,North-East,flat,sector 67a,,,700.0,0,0,0,0,1,relatively new,28,1,31
Experion Windchants,3.4,12134,3,3,2,14.0,North-East,flat,sector 112,2802.0,,,1,0,0,0,0,relatively new,130,1,40
ATS Triumph,1.73,7554,3,4,3+,15.0,North-East,flat,sector 104,2290.0,,,0,0,1,0,0,relatively new,128,1,52
Eldeco Accolade,0.72,5607,2,2,3,10.0,North-East,flat,sohna,1275.0,,,1,0,0,0,0,relatively new,126,1,18
Eldeco Accolade,0.78,5422,2,2,2,7.0,North,flat,sohna,1457.0,,,0,1,0,0,0,relatively new,121,2,18
M3M Golfestate,5.5,16959,3,4,3,3.0,North-East,flat,sector 65,3243.0,,2388.0,0,0,1,0,0,relatively new,28,1,51
Sidhartha NCR One Phase 1,0.43,3152,2,2,2,6.0,North,flat,sector 95,1364.0,,1020.0,1,0,0,0,0,relatively new,101,1,5
M3M Woodshire,0.8,5856,2,2,3+,6.0,West,flat,sector 107,1366.0,,1055.0,0,0,0,1,0,relatively new,144,2,16
ATS Triumph,2.65,8412,4,4,3+,10.0,North-East,flat,sector 104,3150.0,,,0,0,1,0,0,relatively new,144,1,52
DLF Exclusive Floors,2.35,14242,3,3,2,1.0,North-East,flat,sector 53,1650.0,,1405.0,0,0,0,0,0,,86,1,55
M3M Woodshire,1.29,8835,3,3,3+,1.0,East,flat,sector 107,1943.0,,1460.0,0,0,0,1,0,relatively new,141,2,16
M3M Woodshire,1.39,5887,3,4,3+,6.0,East,flat,sector 107,2361.0,,1780.0,0,0,1,1,0,relatively new,144,1,16
TARC Maceo,1.5,6465,3,4,3+,3.0,North-West,flat,sector 91,2320.0,,1325.0,0,1,1,0,0,relatively new,88,1,25
TARC Maceo,1.9,6975,4,4,3,9.0,North,flat,sector 91,2724.0,,,0,0,1,0,0,relatively new,96,1,25
The Close North,2.35,11227,3,3,3,8.0,North-East,flat,sector 50,2093.0,,1850.0,0,0,0,0,0,old property,124,2,42
Ansal API Celebrity Suites,0.6,8163,1,1,1,5.0,North-East,flat,sector 2,735.0,,,1,0,0,0,0,old property,67,2,61
DLF Ridgewood Estate,2.0,14598,3,3,1,12.0,North-East,flat,sector 28,1370.0,,,1,0,0,0,0,,73,2,27
M3M Skywalk,1.57,11000,2,2,3+,10.0,South,flat,sector 74,1424.0,,1100.0,0,0,0,0,1,relatively new,118,1,34
Corona Optus,1.44,7250,3,3,3+,8.0,North-West,flat,sector 37c,,,1990.0,0,0,1,0,0,New Property,23,1,40
Corona Optus,1.26,7250,3,3,3,4.0,North-East,flat,sector 37c,1735.0,,965.0,1,0,0,0,0,New Property,18,1,40
M3M Sierra 68,1.05,8536,2,2,2,11.0,North-East,flat,sector 68,1230.0,,1000.0,1,0,0,0,0,New Property,103,2,42
Parsvnath Exotica,6.44,19000,4,4,3,7.0,West,flat,sector 53,3390.0,,,0,0,1,0,0,old property,71,2,43
Pioneer Araya,7.56,18000,4,4,3+,23.0,West,flat,sector 62,,4200.0,,0,0,1,1,0,relatively new,76,2,42
DLF Trinity Towers,3.8,15510,3,3,3+,1.0,South-East,flat,sector 53,,2450.0,,0,0,1,1,0,old property,71,2,44
DLF Park Place,6.75,24963,4,4,2,8.0,North,flat,sector 54,2704.0,,1534.0,0,0,1,0,0,old property,104,0,34
ATS Tourmaline,1.75,8139,3,4,3+,7.0,North-East,flat,sector 109,2150.0,,,0,0,1,0,0,relatively new,136,1,44
Kiran Residency,1.54,8324,3,4,3+,5.0,South,flat,sector 56,2000.0,,1850.0,0,0,1,0,0,,74,1,50
Emaar Gurgaon Greens,1.4,8484,3,3,3,4.0,North,flat,sector 102,1650.0,,,0,0,1,0,0,relatively new,75,2,42
Shapoorji Pallonji Joyville Gurugram,0.97,10601,2,2,2,12.0,East,flat,sector 102,915.0,,,1,0,0,0,0,relatively new,84,1,34
Shapoorji Pallonji Joyville Gurugram,1.35,9933,2,2,2,9.0,North-East,flat,sector 102,1359.0,,,1,0,0,0,0,relatively new,93,1,34
Conscient Heritage Max,1.75,9011,3,4,3+,13.0,North,flat,sector 102,1942.0,,,0,0,1,0,0,relatively new,85,2,50
Sobha City,2.45,14040,3,3,3,15.0,West,flat,sector 108,1745.0,,1320.0,1,0,0,0,0,relatively new,28,1,33
Paras Dews,1.5,6369,4,6,3+,11.0,North-West,flat,sector 106,2355.0,,1403.0,0,0,1,0,0,relatively new,141,1,52
La Vida by Tata Housing,2.4,10825,3,4,3+,5.0,North-East,flat,sector 113,2217.0,,1730.0,0,0,1,0,0,relatively new,28,1,41
La Vida by Tata Housing,2.45,11050,3,3,3+,3.0,North-East,flat,sector 113,2217.0,,1680.0,0,1,0,0,0,relatively new,141,1,41
La Vida by Tata Housing,3.0,14285,3,3,3+,3.0,East,flat,sector 113,2691.0,,2100.0,0,0,1,0,0,relatively new,137,1,41
La Vida by Tata Housing,1.65,10449,3,2,2,3.0,North-East,flat,sector 113,1579.0,,1220.0,1,0,0,0,0,relatively new,28,1,41
Paras Dews,0.88,6353,2,2,3+,3.0,South-East,flat,sector 106,1385.0,,1040.0,1,0,0,0,0,relatively new,28,1,52
Paras Dews,0.88,6353,2,2,3+,1.0,South,flat,sector 106,1385.0,,845.0,1,0,0,0,0,relatively new,28,1,52
Paras Dews,1.28,7272,3,4,3+,24.0,North-West,flat,sector 106,1760.0,,1130.0,0,0,1,0,0,relatively new,28,1,52
Paras Dews,1.34,9550,4,5,3+,7.0,South-East,flat,sector 106,2355.0,,1403.0,0,0,1,0,0,relatively new,28,1,52
Paras Dews,1.32,5605,4,5,3+,11.0,South-West,flat,sector 106,2355.0,,1403.0,0,0,1,0,0,relatively new,28,1,52
Paras Dews,1.13,6406,3,4,3+,18.0,North-West,flat,sector 106,1760.0,,1130.0,0,1,1,0,0,relatively new,28,1,52
Pareena Coban Residences,1.38,7150,4,5,3+,1.0,South-East,flat,sector 99a,2352.0,,1930.0,0,0,1,0,1,relatively new,28,1,55
Pareena Coban Residences,1.16,5808,3,3,3,3.0,North-East,flat,sector 99a,1997.0,,1420.0,0,0,1,0,1,relatively new,28,1,55
La Vida by Tata Housing,2.33,12533,3,3,3,3.0,North,flat,sector 113,2217.0,,1859.0,0,0,1,0,0,New Property,141,1,41
La Vida by Tata Housing,3.05,11338,3,4,3,15.0,North-East,flat,sector 113,2690.0,,2240.0,0,0,1,0,0,New Property,144,1,41
Mapsko Mount Ville,1.25,7716,3,3,2,1.0,South-West,flat,sector 79,1620.0,,862.0,0,1,0,1,0,relatively new,142,2,42
Mapsko Mount Ville,1.25,8389,3,3,3,22.0,South-West,flat,sector 79,1490.0,,863.0,0,1,0,1,0,relatively new,134,1,42
Mapsko Mount Ville,1.1,12732,3,3,3,22.0,South-West,flat,sector 79,1490.0,,863.0,0,1,0,1,0,relatively new,113,1,42
Alpha Corp GurgaonOne 84,2.28,8769,4,4,3+,8.0,South-East,flat,sector 84,3434.0,,2600.0,0,0,1,0,0,relatively new,61,1,41
SS The Leaf,1.2,12371,2,2,2,4.0,East,flat,sector 85,1671.0,,970.0,0,0,1,0,0,relatively new,88,1,42
SS The Leaf,1.22,13318,2,2,3,16.0,North-East,flat,sector 85,1772.0,,916.0,0,0,0,0,0,relatively new,88,1,42
SS The Leaf,1.1,12471,2,2,3,12.0,North,flat,sector 85,1640.0,,882.0,0,1,0,0,0,relatively new,78,1,42
SS The Leaf,1.15,11966,2,2,3,20.0,North-East,flat,sector 85,1741.0,,961.0,0,0,0,1,0,relatively new,99,1,42
Mapsko Mount Ville,1.2,13837,3,3,3,18.0,North,flat,sector 79,1510.0,,867.0,0,1,0,1,0,relatively new,133,2,42
Emaar Palm Gardens,1.4,8139,3,3,3,2.0,North-West,flat,sector 83,1720.0,,1095.0,0,1,1,1,0,relatively new,144,2,41
Vatika Lifestyle Homes,1.1,6267,3,3,2,8.0,South,flat,sector 83,1755.0,,,0,1,0,1,0,relatively new,144,2,42
Vatika City Homes,1.0,5747,3,3,2,2.0,South-East,flat,sector 83,1740.0,,,0,0,0,0,0,relatively new,144,2,32
Alpha Corp GurgaonOne 84,1.52,7904,3,4,3,15.0,South,flat,sector 84,1923.0,,1500.0,0,0,1,0,0,relatively new,85,1,41
Emaar Palm Gardens,1.8,9473,3,4,3,4.0,West,flat,sector 83,1900.0,,1244.0,0,1,1,1,0,relatively new,144,2,41
Emaar Palm Gardens,1.6,8648,3,3,3+,6.0,East,flat,sector 83,1850.0,,,0,1,1,1,0,relatively new,139,2,41
Mapsko Mount Ville,1.55,8539,3,4,3,11.0,South-West,flat,sector 79,1815.0,,1071.0,0,0,1,0,0,relatively new,123,2,42
Mapsko Mount Ville,1.3,8024,3,3,2,6.0,West,flat,sector 79,1620.0,,867.0,0,1,0,1,0,relatively new,130,1,42
Bestech Park View Grand Spa,2.25,8458,3,4,3+,8.0,West,flat,sector 81,2660.0,,2100.0,0,1,1,0,0,relatively new,104,2,42
Orchid Petals,4.79,11628,5,5,3+,14.0,South,flat,sector 49,4115.0,,,0,1,1,1,0,relatively new,28,1,36
TARC Maceo,1.4,7407,3,3,3+,7.0,North,flat,sector 91,1890.0,,1600.0,1,0,0,0,0,relatively new,64,1,25
Godrej Oasis,1.38,6679,3,3,3+,7.0,North,flat,sector 88a,,,2066.0,0,0,1,0,0,relatively new,62,1,18
Godrej Oasis,1.3,7258,3,3,3+,4.0,North-West,flat,sector 88a,,,1791.0,1,0,0,0,0,relatively new,68,1,18
Godrej Aria,1.0,6653,2,2,2,4.0,North-West,flat,sector 79,1503.0,,1200.0,0,1,0,0,0,relatively new,28,1,49
Godrej Oasis,1.0,6896,2,2,3,7.0,,flat,sector 88a,,,1450.0,0,1,0,0,0,relatively new,67,1,18
Godrej Oasis,0.95,7268,2,2,2,6.0,North-West,flat,sector 88a,,,1307.0,1,0,0,0,0,relatively new,71,1,18
Ireo Uptown,1.85,12567,2,3,3,16.0,South-East,flat,sector 66,1472.0,,1251.0,0,0,1,0,1,relatively new,72,2,24
Emaar MGF Palm Hills,1.65,8461,4,3,3,9.0,South,flat,sector 77,1950.0,,,0,0,1,0,0,relatively new,82,1,42
M3M Woodshire,1.32,6330,3,3,3,10.0,East,flat,sector 107,1943.0,,,1,0,0,0,0,relatively new,99,1,16
M3M Woodshire,1.02,6649,2,2,3,6.0,North-East,flat,sector 107,1534.0,,,0,1,0,0,0,relatively new,98,1,16
SBTL Caladium,1.88,6153,4,5,3,10.0,North-East,flat,sector 109,3055.0,,,1,0,0,0,0,relatively new,91,1,16
Conscient Heritage Max,2.15,9306,3,4,3,13.0,South,flat,sector 102,2149.0,,,0,1,1,0,0,relatively new,86,1,50
Puri Diplomatic Greens,2.58,11727,3,4,2,10.0,North,flat,sector 111,2200.0,,,0,0,1,0,0,old property,78,1,44
Puri Diplomatic Greens,2.25,13235,3,3,2,12.0,North-East,flat,sector 111,1700.0,,,1,0,0,0,0,relatively new,89,1,44
ATS Tourmaline,1.75,8139,3,4,3+,9.0,North-East,flat,sector 109,2150.0,,,0,0,1,0,0,relatively new,86,1,44
Experion The Heartsong,0.93,6079,2,3,3,10.0,East,flat,sector 108,1283.0,,,1,0,0,0,0,relatively new,74,1,42
Experion Windchants,4.75,12622,3,5,3+,4.0,West,flat,sector 112,3763.0,,,0,0,1,0,0,relatively new,25,2,40
SS The Leaf,2.2,6934,4,5,3+,4.0,East,flat,sector 85,2812.0,,,1,0,0,0,0,relatively new,93,1,42
Tulip Violet,1.7,8457,4,4,2,10.0,South-West,flat,sector 69,2010.0,,1610.0,0,1,1,1,0,relatively new,144,1,42
Emaar Gurgaon Greens,1.39,8424,3,3,3,7.0,West,flat,sector 102,1650.0,,,0,0,1,0,0,relatively new,15,2,42
The Close North,2.7,10364,3,3,3+,6.0,East,flat,sector 50,2605.0,,2200.0,0,0,1,0,0,old property,144,1,42
BPTP Terra,1.75,7987,4,4,3,7.0,West,flat,sector 37d,2191.0,,1800.0,0,0,0,0,1,relatively new,98,2,42
ATS Tourmaline,1.4,8000,3,3,3+,5.0,East,flat,sector 109,1750.0,,,1,0,0,0,0,relatively new,27,1,44
M3M Woodshire,1.65,5960,4,5,3+,12.0,North-West,flat,sector 107,2768.0,,,0,0,1,0,0,relatively new,15,1,16
DLF The Icon,6.0,26086,4,4,3+,18.0,North-East,flat,sector 53,,,2300.0,0,0,1,0,0,,131,2,44
Bestech Park View City,1.8,10250,3,4,3,3.0,North-West,flat,sector 48,,,1756.0,0,1,0,0,0,old property,64,2,66
Hector Trimurti Heights,1.5,6382,4,3,3,10.0,South-East,flat,sector 39,,,2350.0,0,0,1,0,0,,28,0,46
Pyramid Urban,0.53,8967,2,2,1,6.0,West,flat,sector 67a,,,591.0,0,0,0,0,1,relatively new,28,2,31
Shree Vardhman Flora,0.92,4717,3,3,2,6.0,North,flat,sector 90,,,1950.0,0,1,0,0,0,relatively new,28,2,49
DLF The Ultima,2.7,12802,3,3,3,15.0,North,flat,sector 81,,,2109.0,0,0,1,0,0,relatively new,28,2,42
Shree Vardhman Flora,0.7,5177,2,3,2,7.0,North,flat,sector 90,,,1352.0,0,1,0,0,0,relatively new,28,2,49
SS The Leaf,1.25,7179,2,2,2,16.0,North,flat,sector 85,,,1741.0,1,0,0,0,0,relatively new,28,2,42
Umang Winter Hills,0.8,5961,2,2,2,10.0,North,flat,sector 77,1342.0,,1000.0,1,0,0,0,0,relatively new,28,2,49
Unitech Fresco,1.8,9589,3,4,3+,6.0,North-East,flat,sector 50,1877.0,,1600.0,0,0,1,0,0,old property,141,2,43
The Close North,2.65,10685,3,4,3+,6.0,North,flat,sector 50,2480.0,,2000.0,0,0,1,0,0,old property,141,2,42
Vatika Gurgaon 21,1.05,7000,3,3,3,3.0,South-West,flat,sector 83,1735.0,,1500.0,0,0,0,0,0,relatively new,71,1,42
Unitech Fresco,1.88,10479,3,3,3+,14.0,North,flat,sector 50,1794.0,,1450.0,0,0,0,0,1,old property,141,2,43
Alpha Corp GurgaonOne 84,1.15,7496,2,2,3,8.0,North-East,flat,sector 84,1534.0,,1200.0,0,1,0,0,0,relatively new,24,2,41
Vatika Gurgaon 21,1.33,5564,4,4,3,3.0,East,flat,sector 83,2390.0,,2000.0,0,0,1,0,0,relatively new,16,1,42
Unitech Harmony,2.6,9590,3,4,2,15.0,North-East,flat,sector 50,2711.0,,2200.0,0,0,1,0,1,relatively new,141,2,52
The Close North,2.97,11401,3,3,3+,8.0,North,flat,sector 50,2605.0,,2100.0,0,0,1,0,0,old property,141,2,42
Sapphire Eighty Three,0.4,8547,1,1,1,6.0,North-East,flat,sector 83,,,468.0,1,0,0,0,0,relatively new,42,0,14
Vatika City,2.65,11770,3,4,3,11.0,East,flat,sector 49,2251.0,,,0,0,1,1,0,old property,120,2,23
Godrej Summit,1.16,6387,3,4,3+,8.0,East,flat,sector 104,,,1816.0,0,0,1,0,0,relatively new,87,2,51
Godrej Summit,1.05,5833,3,4,3+,7.0,East,flat,sector 104,,,1800.0,0,0,1,0,0,relatively new,87,2,51
Godrej Summit,1.35,5000,4,5,3+,0.0,North-East,flat,sector 104,,,2700.0,0,1,1,1,0,relatively new,94,1,51
Godrej Summit,1.35,5014,4,5,3+,0.0,South-East,flat,sector 104,,,2692.0,0,1,1,1,0,relatively new,79,1,51
Emaar MGF The Palm Drive,2.85,14615,3,3,3,11.0,North-East,flat,sector 66,1950.0,,1550.0,0,1,0,0,0,relatively new,70,2,43
Pivotal Devaan,0.35,6003,2,2,1,4.0,East,flat,sector 84,583.0,,,1,0,0,0,0,relatively new,23,1,36
M3M Woodshire,0.88,6442,2,2,3+,3.0,East,flat,sector 107,1366.0,,,1,0,0,0,0,relatively new,88,1,16
Adani M2K Oyster Grande,2.4,9305,3,4,3+,3.0,North-East,flat,sector 102,2579.0,,2100.0,0,1,0,0,0,relatively new,28,2,42
Ireo Skyon,3.6,12815,4,5,3,24.0,North-East,flat,sector 60,2809.0,,2400.0,0,0,1,0,0,relatively new,28,2,43
La Vida by Tata Housing,1.45,11363,2,2,2,6.0,South,flat,sector 113,1276.0,,904.0,1,0,0,0,0,relatively new,73,1,41
The Close North,2.35,11767,3,3,3+,8.0,North-East,flat,sector 50,1997.0,,1850.0,1,0,0,0,0,old property,135,2,42
Vatika The Seven Lamps,0.94,6567,2,2,2,12.0,East,flat,sector 82,1435.0,,,0,1,0,0,0,relatively new,85,2,42
Vatika The Seven Lamps,0.8,6192,2,2,2,15.0,West,flat,sector 82,1300.0,,,1,0,0,0,0,relatively new,102,2,42
The Close South,3.1,12444,3,4,3+,4.0,North-East,flat,sector 50,2491.0,,2250.0,0,0,1,0,0,old property,135,2,31
Vatika The Seven Lamps,1.39,6412,3,3,3+,11.0,East,flat,sector 82,2160.0,,,0,1,1,0,0,relatively new,102,2,42
Vatika The Seven Lamps,0.94,6533,2,2,3+,9.0,North,flat,sector 82,1435.0,,,0,1,0,0,0,relatively new,102,2,42
Vatika The Seven Lamps,0.78,5932,2,2,2,0.0,North-West,flat,sector 82,1298.0,,,1,0,0,0,0,relatively new,85,2,42
Vatika The Seven Lamps,0.86,5979,2,2,2,9.0,North-East,flat,sector 82,1430.0,,,0,1,0,0,0,relatively new,99,1,42
Orris Aster Court,0.68,5221,2,2,2,5.0,South-West,flat,sector 85,1312.0,,975.0,1,0,0,0,0,relatively new,23,1,17
Godrej 101,2.03,9046,3,4,3+,7.0,South-East,flat,sector 79,2244.0,,,0,0,1,0,0,relatively new,100,1,16
Orris Carnation Residency,0.8,4857,3,4,3,4.0,West,flat,sector 85,1645.0,,1275.0,0,0,1,0,0,relatively new,23,2,35
Shree Vardhman Flora,0.64,6789,2,2,3,9.0,South-East,flat,sector 90,1350.0,,950.0,0,1,0,0,0,relatively new,45,1,49
SS The Coralwood,1.01,5771,3,3,2,18.0,North-West,flat,sector 84,1750.0,,1350.0,1,0,0,0,0,relatively new,23,1,49
Shree Vardhman Flora,1.27,4951,4,5,2,9.0,North-East,flat,sector 90,2575.0,,1950.0,0,1,1,0,0,New Property,72,1,49
Vatika Gurgaon 21,0.84,6746,2,2,2,7.0,East,flat,sector 83,1245.0,,,1,0,0,0,0,old property,131,2,42
Tulip Violet,1.68,8348,4,4,2,1.0,South-West,flat,sector 69,2010.0,,,0,0,0,1,0,relatively new,89,1,42
Tulip Violet,1.66,8408,4,4,1,12.0,South-East,flat,sector 69,1970.0,,,0,0,0,1,0,relatively new,89,1,42
Tulip Violet,1.4,8861,3,3,2,2.0,North-East,flat,sector 69,1578.0,,,0,0,0,1,0,relatively new,89,1,42
Sare Homes,0.5,4237,3,3,2,1.0,North,flat,sector 92,1180.0,,,1,0,0,0,0,relatively new,13,1,5
Umang Winter Hills,0.71,5305,2,2,2,6.0,North-West,flat,sector 77,1342.0,,810.0,0,1,0,0,0,relatively new,96,1,49
Tata Primanti,3.25,10545,3,3,3,2.0,South,flat,sector 72,3300.0,,,0,0,1,0,0,old property,88,1,36
Ashiana Mulberry,1.07,6184,3,3,3+,7.0,North-East,flat,sohna,1730.0,,1300.0,1,0,0,0,0,relatively new,134,1,25
SS The Leaf,1.2,7317,2,2,3,12.0,South,flat,sector 85,1640.0,,,1,0,0,0,0,relatively new,128,2,42
SS The Leaf,2.15,7645,4,5,3+,1.0,South,flat,sector 85,2812.0,,,0,0,1,0,0,relatively new,132,1,42
Tulip Violet,1.72,8730,4,4,1,12.0,North-East,flat,sector 69,1970.0,,,1,0,0,0,0,relatively new,81,1,42
Tulip Violet,1.36,8841,3,3,1,12.0,North-West,flat,sector 69,1538.0,,,0,0,0,1,0,relatively new,82,1,42
Tulip Violet,1.75,8883,4,4,1,12.0,North-West,flat,sector 69,1970.0,,,1,0,0,0,0,relatively new,81,1,42
Tulip Violet,1.75,8882,4,4,1,12.0,North-West,flat,sector 69,1970.0,,,1,0,0,0,0,relatively new,81,1,42
Tulip Violet,1.38,8966,3,3,1,12.0,West,flat,sector 69,1538.0,,,0,0,0,1,0,relatively new,84,1,42
Tulip Violet,1.29,8227,3,3,1,12.0,North-East,flat,sector 69,1568.0,,,0,0,0,1,0,relatively new,81,2,42
Tulip Violet,1.37,8675,3,3,1,12.0,East,flat,sector 69,1578.0,,1538.0,0,0,0,1,0,relatively new,86,1,42
Tulip Violet,1.32,8411,3,3,1,12.0,South-West,flat,sector 69,1568.0,,,0,0,0,1,0,relatively new,84,2,42
Tulip Violet,1.3,8445,3,3,1,12.0,West,flat,sector 69,1538.0,,,0,0,0,1,0,relatively new,86,2,42
DLF New Town Heights 2,1.3,6735,3,3,3,12.0,North,flat,sector 86,1930.0,,,0,0,1,0,0,old property,135,2,31
DLF The Skycourt,1.5,7776,3,3,1,15.0,South-East,flat,sector 86,1929.0,,1330.0,1,0,0,0,0,relatively new,138,1,25
Spaze Privy,3.1,6692,4,5,3+,8.0,South,flat,sector 72,4632.0,,2300.0,0,1,1,1,0,old property,106,1,40
Vatika Lifestyle Homes,1.15,8214,3,3,1,7.0,South-West,flat,sector 83,1832.0,,1400.0,1,0,0,0,0,old property,84,2,42
Pioneer Park,2.1,11666,3,3,3,15.0,South-East,flat,sector 61,1800.0,,1400.0,1,0,0,0,0,relatively new,28,2,43
Signature Global Solera,0.28,5828,2,2,2,0.0,North-East,flat,sector 107,,,489.0,1,0,0,0,0,relatively new,36,1,33
Signature Global Solera,0.28,5674,2,2,2,11.0,North,flat,sector 107,,,489.0,1,0,0,0,0,relatively new,26,1,33
Signature Global Solera,0.28,5623,2,2,2,14.0,North-West,flat,sector 107,,,489.0,1,0,0,0,0,relatively new,31,1,33
Signature Global Solera,0.28,5725,2,2,2,10.0,South,flat,sector 107,,,489.0,1,0,0,0,0,relatively new,31,1,33
Signature Global Grand IVA,0.24,6527,1,1,1,4.0,North-East,flat,sector 103,,,360.0,1,0,0,0,0,relatively new,16,1,18
Signature Global Solera,0.36,6489,2,2,2,8.0,North-West,flat,sector 107,,,547.0,1,0,0,0,0,relatively new,36,1,33
Signature Global Solera,0.51,7906,3,2,2,9.0,South,flat,sector 107,,,645.0,0,0,0,0,1,relatively new,11,1,33
Signature Global Solera,0.35,6398,2,2,2,8.0,South,flat,sector 107,,,547.0,1,0,0,0,0,relatively new,36,1,33
Signature Global Solera,0.28,5828,2,2,2,11.0,South,flat,sector 107,,,489.0,1,0,0,0,0,relatively new,36,1,33
Signature Global Solera,0.36,6581,2,2,2,8.0,South-East,flat,sector 107,,,547.0,1,0,0,0,0,relatively new,36,1,33
Emaar MGF Emerald Floors Premier,2.0,12121,3,3,3,1.0,North-West,flat,sector 65,,,1650.0,0,0,1,0,0,relatively new,100,2,16
BPTP Mansions Park Prime,2.7,9768,4,4,3,6.0,,flat,sector 66,2764.0,,,0,0,1,0,1,relatively new,10,1,24
Tulip Violet,1.75,8706,4,4,2,10.0,North-East,flat,sector 69,2010.0,,,1,0,0,0,0,relatively new,89,2,42
Tulip Lemon,0.62,12863,2,2,1,4.0,North-East,flat,sector 69,,,482.0,1,0,0,0,0,relatively new,105,2,35
Tulip Purple,1.92,8000,4,5,3+,5.0,East,flat,sector 69,2400.0,,,0,0,1,0,0,relatively new,134,2,59
The Lions CGHS,2.0,8333,4,4,3,8.0,West,flat,sector 56,2400.0,,2100.0,0,0,0,0,1,relatively new,28,2,50
Tulip Ivory,2.0,8333,4,5,3+,2.0,South-East,flat,sector 70,2400.0,,,0,0,1,0,0,relatively new,28,2,42
Professional Society,0.75,3067,3,4,3,3.0,East,flat,manesar,,,2445.0,0,0,1,0,0,relatively new,14,1,14
SS The Leaf,1.85,7682,3,4,3,2.0,North,flat,sector 85,2408.0,,,0,1,1,0,0,relatively new,28,2,42
TARC Maceo,0.89,6339,2,2,3+,9.0,East,flat,sector 91,1404.0,,1200.0,0,0,0,0,1,relatively new,10,1,25
Orris Aster Court Premier,1.25,5896,3,4,2,6.0,East,flat,sector 85,2120.0,,,0,0,1,0,0,relatively new,28,2,44
Shapoorji Pallonji Joyville Gurugram,2.15,12706,3,3,3,10.0,South-West,flat,sector 102,1692.0,,1592.0,1,0,0,0,0,relatively new,28,2,34
Umang Winter Hills,0.92,5049,3,3,3,17.0,North-East,flat,sector 77,1822.0,,1400.0,0,0,0,0,1,relatively new,28,2,49
Shree Vardhman Victoria,1.65,8461,3,4,3,1.0,North,flat,sector 70,1950.0,,1267.0,0,0,1,0,0,relatively new,136,0,37
Bestech Park View Grand Spa,4.0,9523,4,5,3+,15.0,West,flat,sector 81,4200.0,,,0,0,1,0,0,relatively new,103,2,42
Bestech Park View Grand Spa,2.22,8345,3,4,3+,15.0,South-East,flat,sector 81,2660.0,,,0,0,1,0,0,relatively new,144,2,42
Bestech Park View Grand Spa,3.0,9419,4,5,2,6.0,South,flat,sector 81,3185.0,,,0,0,1,0,0,relatively new,90,2,42
Vatika The Seven Lamps,1.0,5923,2,2,2,11.0,South,flat,sector 82,1435.0,,,0,1,0,0,0,relatively new,79,2,42
Pioneer Araya,9.14,19488,4,6,3,16.0,East,flat,sector 62,4690.0,,3258.0,0,1,1,0,0,relatively new,128,2,42
Pioneer Araya,8.35,19513,4,6,3,16.0,East,flat,sector 62,4279.0,,,0,0,1,1,0,relatively new,124,1,42
HSIIDC Sidco Shivalik Apartments,0.73,3560,3,3,3+,2.0,South,flat,manesar,2050.0,,1400.0,0,0,1,0,0,old property,59,1,14
IMT View Society,0.95,3653,3,4,3,6.0,South-East,flat,manesar,2600.0,,1900.0,0,0,1,0,0,old property,53,1,14
HSIIDC Sidco Shivalik Apartments,0.48,3840,2,2,3,7.0,South,flat,manesar,1250.0,,770.0,1,0,0,0,0,old property,60,1,14
