property_name,society,price,price_per_sq.ft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,area,type,sector
3 BHK Flat in Sector 56 Gurgaon,Park Royal Apartment,1.85,9024,Carpet area: 2050 (190.45 sq.m.),3,4,3,Servant Room,"Sector 56 Gurgaon, Gurgaon, Haryana",7.0,,10+ Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'Heera Fuel Station', 'HCG CNG Station', '222', 'Hdfc bank and atm', 'Kotak mahindra bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","3 sides open flat, with a green/park view","['3 Wardrobe', '5 Fan', '4 Geyser', '10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Park', 'Piped-gas', 'Visitor Parking', 'Internet/wi-fi connectivity']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5']",2050.0886524822695,flat,sector 56
2 BHK Flat in Sector 37D Gurgaon,Signature Global the Millennia,0.55,9166,Super Built up area 850(78.97 sq.m.)Built Up area: 610 sq.ft. (56.67 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,3,Not available,"Sector 37D Gurgaon, Gurgaon, Haryana",3.0,,0 to 1 Year Old,"['Jharsha Chowk', 'Hero Honda Chowk', 'Rajiv Chowk', 'Umang Bhawaj Chawk', 'IMT Manesar', 'NH 8', 'Delhi', 'AIIMS Jhajjar', 'SGT Medical College', 'Vedic Hospital', 'Balaji Hospital', 'Dwarka Expressway', 'Gurgaon Railway Station', 'Basai Dhancourt Railway Station', 'Signature tower']","Near to hero honda chowk, nh-8, dwarka expressway, airport, metro station. With all the facilities, shopping mall, schools, hospitals. With three balconies, it's 3 sided open to air flat. This society is designed by designer of singapore. This building is built on rcc construction, the latest technology. This society has biggest park and open area with playground. Total area is 10 acers. Location is at the centre of gurgaon. Best place for getting highest appreciation in next 2 years at the metro work is going to be completed in 2022 and new isbt of gurgaon is also proposed nearby. Dwarka expressway is going to be a fully digital highway in next year. It also comes near to it zone where all the biggest company offices will be nearby.",,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",600.0436395374209,flat,sector 37d
2 BHK Flat in Sector 65 Gurgaon,M3M Heights,2.29,15980,Carpet area: 1433 (133.13 sq.m.),2,2,3,Study Room,"Sector 65 Gurgaon, Gurgaon, Haryana",8.0,,Under Construction,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","It's s new property, sunlight throughout the day in all the balconies. Till 4th floor it's commercial and balcony is facing the pvr and outlets.",,"['Intercom Facility', 'Lift(s)', 'Park']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",1433.0413016270338,flat,sector 65
2 BHK Flat in Sector 102 Gurgaon,Shapoorji Pallonji Joyville Gurugram,0.97,10601,Super Built up area 915(85.01 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,Not available,"Sector 102 Gurgaon, Gurgaon, Haryana",12.0,,Within 6 months,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']","Ast facingsituated in sector 102 gurgaon, shapoorji pallonji joyville gurugram is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. Constructed on a super built up area of 915 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 14 floors and this property is situated on 12th floor. This residential flat is currently under construction and you can expect the possession of the same within 6 months.","['1 Water Purifier', '1 Fan', '1 Geyser', '1 Light', '1 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']",915.0080181114989,flat,sector 102
3 BHK Flat in Sector 53 Gurgaon,Tulip Monsella,8.25,28000,Super Built up area 2940(273.13 sq.m.),3,4,3,Servant Room,"Sector 53 Gurgaon, Gurgaon, Haryana",8.0,,Nov 2025,"['Sector 53-54 Metro Station', 'Central Plaza Mall', 'The Big Tree Cafe', 'IILM University, Gurugram', 'The Banyan Tree World School', 'Sanar International Hospital', 'DLF Golf and Country Club', 'Mavens Inn', 'DoubleTree by Hilton Hotel']",Top of the line property and last property on golf course road,"['1 Water Purifier', '1 Fridge', '1 Washing Machine', '1 Stove', '1 Microwave', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Sofa', 'No TV', 'No Wardrobe']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5']",2946.4285714285716,flat,sector 53
2 BHK Flat in Ashok Vihar Phase 2,Shyamkunj ashok vihar pahse 2,0.3,4444,Carpet area: 675 (62.71 sq.m.),2,2,1,Not available,"35/2690 Ashok Vihar Phase 2, Ashok Vihar Phase 2, Gurgaon, Haryana",1.0,East,1 to 5 Year Old,"['Sheetla Mata Mandir', 'Chintapurni Mandir', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Jeevan Jyoti Hospital Gurgaon', 'Dr. Mittal Clinic', 'Jiya Clinic', 'Dr. Sindhu Clinic', 'GH Gurgaon', 'Children Hospital', 'Dr. Tomar Clinic', 'Sheetla Clinic', 'Nidhi Clinic', 'Dr. Babita Sharma', 'Dr. Agya Ram Sharma Clinic', 'Kishor Clinic', 'Sarvodya Hospital', 'Sneh Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Gurgaon Eye Centre', 'Jackson Hospital', 'Mamta Hospital Gurgaon', 'Sparsh Hospital Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'Lotus Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'D.R. Rajnis Gupta Clinic', 'M Goel Hospital', 'Lalit Dental Care', 'Aryan Hospital', 'Dentecare - Multispeciality Dental Clinic', 'Kharbanda Maternity and Nursing Home', 'Lall Nursing and Maternity Home', 'Om Charitable Dental & Implant Centre', 'Apollo Cradle Hospital Gurgaon', 'Rang Parivartan', 'Icici bank', 'Hdfc bank', 'Oriental bank of commerce', 'Karur vysay bank', 'Catholic syrian bank', 'Cafe Coffee Day', 'Lieutenant Atul Kataria School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",Near to railway/bus stand & safe close gali,"['2 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Maintenance Staff', 'Water Storage']","['Environment3 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5']",675.0675067506751,flat,sector 5
2 BHK Flat in Sector-33 Sohna,Godrej Nature Plus,1.65,14335,Carpet area: 1151 (106.93 sq.m.),2,2,3,Not available,"Sector-33 Sohna, Gurgaon, Haryana",1.0,East,Under Construction,"['Signature Global Infinity Mall Sohna', 'Badshahpur Sohna Rd Hwy', 'Gurjar Samrat Jaipal Khatana Marg', 'K. R. Mangalam University', 'Vidya Niketan Sr Sec School', 'Sanjivani Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","It is a first floor garden facing plc apartment. 2 large bedrooms with drawing dining, kitchen, balconies in all the rooms and a private deck of approx. 300 sq. Ft.",[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,1151.0289501220789,flat,sector-33 sohna
2 BHK Flat in Sector 65 Gurgaon,M3M Heights,1.99,15793,Super Built up area 1260(117.06 sq.m.),2,2,2,Not available,"Sector 65 Gurgaon, Gurgaon, Haryana",26.0,,Dec 2023,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","We are the proud owners of this 2 bhk apartment available in m3m heights, sector 65 gurgaon, gurgaon. This it is corner unit with highest plc and inside view and the unit is located on 26th floor and has a super built-Up area of 1260 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.",[],,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",1260.0519217374786,flat,sector 65
2 BHK Flat in Sector 68 Gurgaon,M3M The Marina,1.0,12500,Carpet area: 800 (74.32 sq.m.),2,2,3,Not available,"Sector 68 Gurgaon, Gurgaon, Haryana",21.0,,1 to 5 Year Old,"['Airia Mall', 'Southern Peripheral Road', 'Sohna Road', 'Alpine Convent\xa0School', 'MKD Hospital', 'Indira Gandhi International Airport', 'Bhondsi Nature Park', 'Lemon Tree Hotel, Sohna Road', 'De Adventure Park', 'PVR Drive in Theatre']",Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a unfurnished property.Located in sector-68 gurgaon.Available at an expected price of rs 10000000.Located on 21st floor out of the 29 the property comes with a good construction quality which ages 1-5 years old property,,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Green Area4 out of 5', 'Amenities4 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity4 out of 5']",800.0,flat,sector 68
3 BHK Flat in Sector 62 Gurgaon,Emaar Digihomes,4.25,26562,Carpet area: 1600 (148.64 sq.m.),3,3,3,Study Room,"Sector 62 Gurgaon, Gurgaon, Haryana",8.0,,By 2024,"['Sector 55-56 Metro Station', 'Omaxe Gurgaon Mall', 'Badshahpur Sohna Rd Hwy,Sector 48', 'Heritage School', 'Lotus Valley Intl School, Gurgaon', 'Gurugram University', 'Sushant University', 'Park Hospital', 'Indira Gandhi Intl Airport', 'Imperia Mindspace', 'AIPL Business Tower']",Park and pool facing and good view,"['1 Fan', '1 Geyser', '1 Stove', '1 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5']",1600.03011821399,flat,sector 62
3 BHK Flat in Sector 83 Gurgaon,Mapsko Paradise,0.95,6300,Carpet area: 1340 (124.49 sq.m.),3,3,3,Not available,"Sector 83 Gurgaon, Gurgaon, Haryana",1.0,,5 to 10 Year Old,"['Reliance MART, Iris Broadway', 'NH – 8', 'Circle 3 / Sector 83', 'Bachpan Play School', 'Knowledge Tree World School', 'Discovery Montessori Preschool', 'iGrow Montessori', 'Sri Chaitanya School', 'IGI Airport', 'Kotak Mahindra Bank, Sec 83', 'SBI Sikandarpur Badha', 'Allahabad Bank, Sikandarpur Badha', 'HDFC Bank, Sikandarpur Bada', 'M3M SCO Shop cum Office', 'Shiv Shakti Petro, Sec-82']","We are the proud owners of this 3 bhk apartment available in mapsko paradise, sector-83 gurgaon, gurgaon. This unfurnished apartment it is a and the unit is located on 1st floor and has a carpet area of 1349 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",,,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management5 out of 5', 'Construction4 out of 5', 'Connectivity5 out of 5']",1507.936507936508,flat,sector 83
3 BHK Flat in Sector 4 Gurgaon,Cancon Enclave,1.05,7777,Carpet area: 1350 (125.42 sq.m.),3,2,2,Not available,"Sector 4 Gurgaon, Gurgaon, Haryana",2.0,,0 to 1 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Kr Dental Hub', 'Prateek Nursing Home And Polyclinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Dr. Ashok Jain', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Shree Krishna Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Dr. Sindhu Clinic', 'Taneja Hospital', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'Geeta Nursing Home Gurgaon', 'Sparsh Hospital Gurgaon', 'Esic Hospital Gurugram', 'Yashroop Medical Centre', 'Ravi Clinic and Health Care Centre', 'Dr. Mittal Clinic', 'Jiya Clinic', ""Dr. Anurag's Child Care Clinic"", 'Chiranjiv Hospital', 'Bhatnagar Maternity and Nursing Home', 'Dr. Hitesh Dawar', 'Dr. Madan Clinic', 'Dr. Agya Ram Sharma Clinic', 'Bindal Clinic', 'GH Gurgaon', 'Dev Man Kathuria Clinic', 'Swastik Maternity and Medical Centre', 'Dr. Sarvejeet Singh', 'M.S Hospital', 'Centre For Sight Gurgaon New Railway Road', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'Kidney Clinic', 'Satyam Hospital Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",Near railway station and near chintpurni mata mandir,"['2 Wardrobe', '1 Exhaust Fan', '16 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Safety5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5']",1350.1350135013502,flat,sector 4
4 BHK Flat in Sector 72 Gurgaon,Tata Primanti,4.1,14100,Super Built up area 2905(269.88 sq.m.),4,5,3+,"Servant Room,Others","Sector 72 Gurgaon, Gurgaon, Haryana",39.0,,0 to 1 Year Old,"['Sector 55-56 Metro Station', 'Omaxe City Centre', 'Sohna Gurgaon Road', 'Faridabad Gurgaon Road', 'Pallavan PreSchool, Sohna Road', 'RBSM Public school', 'Polaris Hospital', 'Spaze Itech Park', 'Radisson Hotel Gurugram Sohna Road', 'SkyJumper Trampoline Park Gurgaon']",Brand new only two flats in this floor. Enjoy great views,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Green Area4 out of 5', 'Amenities5 out of 5', 'Management5 out of 5', 'Construction4 out of 5', 'Connectivity4 out of 5']",2907.801418439716,flat,sector 72
2 BHK Flat in Sector 90 Gurgaon,MRG World Ultimus,0.5,6983,Carpet area: 716 (66.52 sq.m.),2,2,2,Not available,"Sector 90 Gurgaon, Gurgaon, Haryana",1.0,North-East,Mar 2024,"['Huda Metro Station', 'Aanyaz Mall', 'Sector 86 Road', 'NH 352W', 'Euro International School', 'SGT University', 'Arc Multi Speciality hospital', 'Indira Gandhi Intl Airport', 'Farrukh Nagar Railway Station']","Best location, beside property 200 bed running hospital, 75 ft wife rod with 12 ft service road. Petrol pump and international school at opposite side of the property/road
Nearby mall and shopping complex etc",,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']","['Environment4 out of 5', 'Safety5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3 out of 5']",716.0246312473149,flat,sector 90
4 BHK Flat in Sector 1 Imt Manesar,sonata group housing Gh 24,1.65,5892,Carpet area: 2800 (260.13 sq.m.),4,3,3,Servant Room,"Sector 1 Imt Manesar, Gurgaon, Haryana",8.0,,0 to 1 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Yadav Dental & Eye Care', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', 'Petrol Pump Indian Oil', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']","This 4 bhk flat is located in sonata group housing gh 24, which houses some of the most spacious and newley built flats in sector 1 imt manesar, gurgaon. The flat occupies a carpet area of 2800 sq.Ft. That consists of 4 bedrooms and 1 servant room, 4 bathrooms and 3 balconies. This flat lies on the 8th level of a 10 storey building. This property is available for immediate possession as the project is ready to move.",,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","['Environment5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4 out of 5']",2800.4073319755603,flat,manesar
3 BHK Flat in Sector 70A Gurgaon,BPTP Pedestal,1.6,10158,Carpet area: 1575 (146.32 sq.m.),3,3,3,"Servant Room,Others","Sector 70A Gurgaon, Gurgaon, Haryana",2.0,North-East,0 to 1 Year Old,"['Ninex Mall', 'Airia Mall', 'Meditree Market', 'OMAXE Gurgaon Mall', 'Shaheed Bhagat Singh Chowk', 'Sohna Rd', ""St. Angel's Global"", 'Kunskapsskolan International', 'ISKCON', 'HDFC Bank ATM', 'Ektaa Hospitals', 'Oriental Bank of Commerce', 'De Adventure Park', 'Urusvati Museum Of Folklore', 'Leopard hills']","North east location, corner apartment, direct entry from the main road, peaceful area, open balcony view, very airy and 3side open with external natural light.",[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center']","['Environment5 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",1575.1132112620594,flat,sector 70a
4 BHK Flat in Sector 1 Imt Manesar,HSIIDC Sidco Aravali,0.9,3648,Super Built up area 2467(229.19 sq.m.),4,4,3,Not available,"Sector 1 Imt Manesar, Gurgaon, Haryana",7.0,,5 to 10 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Yadav Dental & Eye Care', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', 'Petrol Pump Indian Oil', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']","We are the proud owners of this 4 bhk apartment available in hsiidc sidco aravali, sector 1 imt manesar, gurgaon. This it is a and the unit is located on 7th floor and has a super built-Up area of 2467 sq.Ft. . It has 4 bathroom(s) and 3 balcony(s). The ownership is freehold type.",[],,"['Environment5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4 out of 5']",2467.1052631578946,flat,manesar
2 BHK Flat in Sector 79 Gurgaon,Godrej Aria,1.1,7772,Super Built up area 1351(125.51 sq.m.),2,2,3+,Not available,"Sector 79 Gurgaon, Gurgaon, Haryana",4.0,North-East,0 to 1 Year Old,"['Sapphire 83 Mall', 'Delhi Jaipur Expressway', 'Mount Olympus School, Sec 79', 'Singhania University, Manesar', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Capital Business Park', 'Savoy Suites, Manesar', 'Manesar Golf Course', 'Nakhrola Stadium']",Corner flat with north and east side open. Facing inside society with amenities and swimming pool view. 2bhk with recent woodwork done. Ready to move.,"['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']",1415.3371075656203,flat,sector 79
2 BHK Flat in Sector 99 Gurgaon,Assotech Blith,0.92,6739,Super Built up area 1365(126.81 sq.m.),2,2,3+,Not available,"Sector 99 Gurgaon, Gurgaon, Haryana",22.0,,By 2023,"['Huda Metro Station (Gurugram)', 'Dwarka Expressway', 'Gurugram Global Heights School', 'DPG Institute of Technology', 'Signature Advanced Hospital', 'Indira Gandhi International Airport', 'iON Digital Zone, Gurgaon', 'IMT Manesar', 'Holiday Inn Gurugram Sector 90', 'SkyJumper Trampoline Park', 'Ramgarh Farms & Resort']",Right on dwarkaexpressway near metro station sec99,[],"['Private Garden / Terrace', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM']","['Environment4.5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5']",1365.1877133105802,flat,sector 99
3 BHK Flat in Sector 92 Gurgaon,Sare Crescent Parc,0.7,5556,Built Up area: 140 (117.06 sq.m.),3,3,2,Not available,"Sector 92 Gurgaon, Gurgaon, Haryana",14.0,,Under Construction,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump', 'Indian Oil']","Residential apartment for sell.Located on 14th  of the 20 floors located in sector-92 gurgaon.The property has 3 bedrooms  with 3 bathrooms .Property is built in 140 sq. Yards(Builtup area)  available at an expected price of 70 lacit is a freehold property.The property comes with a good construction quality which ages within 6 months . Amenities:Lift(S),Swimming pool,Park,Club house / community center,Fitness centre / gym,Shopping centre,Rain water harvesting",[],"['Lift(s)', 'Swimming Pool', 'Park', 'Club house / Community Center', 'Fitness Centre / GYM', 'Shopping Centre', 'Rain Water Harvesting']","['Green Area4 out of 5', 'Amenities3 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity3 out of 5']",1259.899208063355,flat,sector 92
3 BHK Flat in Sector 70 Gurgaon,Unitech Vistas,0.99,6325,Super Built up area 1565(145.39 sq.m.),3,4,2,Not available,"Sector 70 Gurgaon, Gurgaon, Haryana",11.0,,By 2024,"['Airia Mall', 'Delhi Ajmer Highway', 'Sohna Road', 'Suraj School']","We are the proud owners of this 3 bhk apartment available in unitech vistas, sector-70 gurgaon, gurgaon. This it is a and the unit is located on 11th floor and has a super built-Up area of 1565 sq.Ft. . It has 4 bathroom(s) and 2 balcony(s). The ownership is freehold type.",[],,"['Environment4 out of 5', 'Safety3.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3 out of 5']",1565.2173913043478,flat,sector 70
2 BHK Flat in Sector 103 Gurgaon,Ansal Housing Highland Park,0.88,6429,Super Built up area 1361(126.44 sq.m.),2,2,3,Not available,"Sector 103 Gurgaon, Gurgaon, Haryana",3.0,,0 to 1 Year Old,"['State bank ATM', 'Dr. Hitesh Dawar', 'Bhardwaj Hospital', 'R K Hospital Gurgaon', 'Shree Krishna Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Chirag Hospital Pvt. Ltd', 'Esic Hospital Gurugram', 'Kr Dental Hub', 'Sneh Hospital Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Basai dhankot railway station']",Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a unfurnished property.Located in sector-103 gurgaon.Available at an expected price of rs 8750000.Located on 3rd floor out of the 12,,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",1368.7976357131747,flat,sector 103
